"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3601","Can't Login with Unregistered account","chromium","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","2354","Cant register with invalid email format","chromium","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","3013","Cant register with 7 char password","firefox","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","4490","Can't Login with Unregistered account","firefox","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","6914","Lost password shows err for unregistered account","webkit","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","2753","Can't register with empty fields","firefox","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","4137","Can't register with empty fields","webkit","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","2168","Can't register with empty fields","chromium","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","4027","Lost password shows err for unregistered account","chromium","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","3744","Cant register with 7 char password","webkit","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","3986","Cant register with invalid email format","webkit","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","10363","Can't Login with Unregistered account","webkit","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","4912","Lost password shows err for unregistered account","firefox","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","2744","Cant register with invalid email format","firefox","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","2196","Cant register with 7 char password","chromium","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
